#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:01:720,Pose44,0,-0.28,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.74,-0.74,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:760,Pose45,0.025,-0.24,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.72,-0.72,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:800,Pose46,0.05,-0.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.7,-0.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:840,Pose47,0.075,-0.16,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.68,-0.68,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:880,Pose48,0.1,-0.12,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.66,-0.66,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:920,Pose49,0.125,-0.08,-0.36,0.36,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.64,-0.64,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:960,Pose50,0.15,-0.04,-0.34,0.34,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.62,-0.62,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:000,Pose51,0.175,0,-0.32,0.32,*,*,2.0592,2.0592,*,*,*,*,*,*,*,*,*,*,0.6,-0.6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:040,Pose52,0.2,0.04,-0.3,0.3,*,*,1.9734,1.9734,*,*,*,*,*,*,*,*,*,*,0.58,-0.58,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:080,Pose53,0.225,0.08,-0.28,0.28,*,*,1.8876,1.8876,*,*,*,*,*,*,*,*,*,*,0.56,-0.56,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:120,Pose54,0.25,0.12,-0.26,0.26,*,*,1.8018,1.8018,*,*,*,*,*,*,*,*,*,*,0.54,-0.54,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:160,Pose55,0.275,0.16,-0.24,0.24,*,*,1.716,1.716,*,*,*,*,*,*,*,*,*,*,0.52,-0.52,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:200,Pose56,0.3,0.2,-0.22,0.22,*,*,1.6302,1.6302,*,*,*,*,*,*,*,*,*,*,0.5,-0.5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:240,Pose57,*,0.24,-0.2,0.2,*,*,1.5444,1.5444,*,*,*,*,*,*,*,*,*,*,0.48,-0.48,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:280,Pose58,*,0.28,-0.18,0.18,*,*,1.4586,1.4586,*,*,*,*,*,*,*,*,*,*,0.46,-0.46,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
