#WEBOTS_MOTION,V1.0,HeadPitch,HeadYaw,LAnkleRoll,RAnkleRoll,LAnklePitch,RAnklePitch,LKneePitch,RKneePitch,LElbowRoll,RElbowRoll,LElbowYaw,RElbowYaw,LWristYaw,RWristYaw,LShoulderRoll,RShoulderRoll,LShoulderPitch,RShoulderPitch,LHipRoll,RHipRoll,LHipPitch,RHipPitch,RHipYawPitch,LHipYawPitch,LPhalanx1,LPhalanx2,LPhalanx3,LPhalanx4,LPhalanx5,LPhalanx6,LPhalanx7,LPhalanx8,RPhalanx1,RPhalanx2,RPhalanx3,RPhalanx4,RPhalanx5,RPhalanx6,RPhalanx7,RPhalanx8
00:00:000,Pose1,0.3,0,-0.39,0.39,0.8,0.8,1.4586,1.4586,-1.53,1.53,-1.35,1.35,0.2,-0.2,0.5,-0.5,1.3728,1.3728,0.73,-0.73,-1.76,-1.76,-0.73,-0.73,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:920,Pose24,*,0.023,0.003,*,*,0.009,*,*,*,*,*,*,*,*,0.123,-0.123,1.634,1.604,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:00:960,Pose25,*,0.024,0.004,*,*,0.01,*,*,*,*,*,*,*,*,0.124,-0.124,1.632,1.606,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:000,Pose26,*,0.025,0.005,*,*,*,*,*,*,*,*,*,*,*,*,-0.125,1.63,1.608,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:040,Pose27,*,*,0.006,*,*,*,*,*,*,*,*,*,*,*,*,*,1.628,1.61,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:080,Pose28,*,*,0.007,*,*,*,*,*,*,*,*,*,*,*,*,*,1.626,1.612,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:120,Pose29,*,*,0.008,*,*,*,*,*,*,*,*,*,*,*,*,*,1.624,1.614,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:160,Pose30,*,*,0.009,*,*,*,*,*,*,*,*,*,*,*,*,*,1.622,1.616,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:200,Pose31,*,*,0.01,*,0.01,*,*,*,*,*,*,*,*,*,*,*,1.62,1.618,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:240,Pose32,*,*,*,*,0.009,*,*,*,*,*,*,*,*,*,*,*,1.618,1.62,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:280,Pose33,*,*,*,*,0.008,*,*,*,*,*,*,*,*,*,*,*,1.616,1.622,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:320,Pose34,0.02,*,*,*,0.007,*,*,*,*,*,*,*,*,*,*,*,1.614,1.624,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:360,Pose35,0.019,*,*,*,0.006,*,*,*,*,*,*,*,*,*,*,*,1.612,1.626,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:400,Pose36,0.018,*,*,*,0.005,*,*,*,*,*,*,*,*,*,*,*,1.61,1.628,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:440,Pose37,0.017,*,*,*,0.004,*,*,*,*,*,*,*,*,*,*,*,1.608,1.63,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:480,Pose38,0.016,*,*,*,0.003,*,*,*,*,*,*,*,*,*,*,*,1.606,1.632,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:520,Pose39,0.015,*,*,*,0.002,*,*,*,*,*,*,*,*,*,*,*,1.604,1.634,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:560,Pose40,0.014,*,*,*,0.001,*,*,*,*,*,*,*,*,*,*,*,1.602,1.636,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:600,Pose41,0.013,*,*,*,0,*,*,*,*,*,*,*,*,*,*,*,1.6,1.638,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:640,Pose42,0.012,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1.64,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:680,Pose43,0.011,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:720,Pose44,0.01,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.125,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:760,Pose45,0.009,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.124,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:800,Pose46,0.008,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.123,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:840,Pose47,0.007,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.122,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:880,Pose48,0.006,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.121,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:920,Pose49,0.005,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.12,*,1.638,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:01:960,Pose50,0.004,*,*,*,*,*,*,*,*,*,*,*,*,*,*,-0.119,*,1.636,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:000,Pose51,0.003,*,*,*,*,*,*,*,*,*,*,*,*,*,0.125,-0.118,*,1.634,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:040,Pose52,0.002,*,*,*,*,*,*,*,*,*,*,*,*,*,0.124,-0.117,*,1.632,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:080,Pose53,0.001,*,*,*,*,*,*,*,*,*,*,*,*,*,0.123,-0.116,*,1.63,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:120,Pose54,0,*,*,*,*,*,*,*,*,*,*,*,*,*,0.122,-0.115,*,1.628,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:160,Pose55,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.121,-0.114,*,1.626,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:200,Pose56,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.12,-0.113,*,1.624,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:240,Pose57,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0.119,-0.112,*,1.622,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:280,Pose58,*,0.024,*,*,*,*,*,*,*,*,*,*,*,*,0.118,-0.111,*,1.62,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:320,Pose59,*,0.023,*,*,*,*,*,*,*,*,*,*,*,*,0.117,-0.11,*,1.618,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:360,Pose60,*,0.022,*,*,*,*,*,*,*,*,*,*,*,*,0.116,-0.109,*,1.616,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:400,Pose61,*,0.021,*,0.01,*,*,*,*,*,*,*,*,*,*,0.115,-0.108,*,1.614,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
00:02:440,Pose62,*,0.02,*,0.009,*,*,*,*,*,*,*,*,*,*,0.114,-0.107,*,1.612,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
